Title,District,Address,Beds,Baths,House size,Land size,Price
House for Rent in Gampaha,Gampaha,"Gampaha City, Gampaha",2,2,"1,200.0 sqft",11.0 perches,"Rs 27,000"
House for Rent in Badulla Town,Badulla,"Badulla City, Badulla",3,2,"2,500.0 sqft",22.0 perches,"Rs 40,000"
House for Rent in Galle,Galle,"Galle City, Galle",3,2,"2,200.0 sqft",22.0 perches,"Rs 38,000"
Eheliyagoda 2 Bedroom Upstair For Rent Kuruwita,Ratnapura,"Kuruwita, Eheliyagoda",3,1,"1,250.0 sqft",12.0 perches,"Rs 25,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",3,1,"2,200.0 sqft",22.0 perches,"Rs 32,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,2,"1,000.0 sqft",11.0 perches,"Rs 26,000"
House for Rent in Nuwaraeliya,Nuwara Eliya,Nuwara Eliya City,2,1,"1,000.0 sqft",11.0 perches,"Rs 25,000"
House For Rent In Hambantota,Hambantota,Hambantota City,2,1,600.0 sqft,10.0 perches,"Rs 16,000"
House for Rent Kurunegala Town,Kurunegala,Kurunegala,5,4,"4,500.0 sqft",45.0 perches,"Rs 58,000"
House for Rent in Gampaha,Gampaha,"Miriswatta, Gampaha",3,2,"2,000.0 sqft",30.0 perches,"Rs 40,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",2,1,723.0 sqft,3.0 perches,"Rs 30,000"
House Rent Colombo,Colombo,Piliyandala,3,1,"2,500.0 sqft",18.0 perches,"Rs 42,000"
House for Rent Karawanella,Kegalle,"Kegalle Road, Karawanella",4,1,"2,500 sqft",12.0 perches,"Rs 32,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",2,1,600.0 sqft,8.0 perches,"Rs 15,000"
Annex For Rent - Gampaha,Gampaha,"294/10A, Hansagiri Road, Gampaha",2,2,"1,000.0 sqft",12.0 perches,"Rs 30,000"
House for Rent Kandy,Kandy,Mulgampola. Kandy,4,1,"2,300.0 sqft",25.0 perches,"Rs 38,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",3,1,"2,400.0 sqft",25.0 perches,"Rs 34,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",2,1,"1,000.0 sqft",14.0 perches,"Rs 25,000"
House For Rent In Wariyapola,Kurunegala,"Wariyapola,Kurunegala",2,1,"5,000.0 sqft",157.0 perches,"Rs 19,500"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",2,1,"1,500.0 sqft",18.0 perches,"Rs 27,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,1,600.0 sqft,6.0 perches,"Rs 20,000"
House for Rent,Gampaha,"Gampaha City, Gampaha",2,2,"1,200.0 sqft",12.0 perches,"Rs 28,000"
House For Rent In Hambantota,Hambantota,"Hungama, Hambantota",4,1,"2,300.0 sqft",25.0 perches,"Rs 39,000"
House for Rent in Nittambuwa,Gampaha,"Sapugasthenna road, Kalagedihena, Nittambuwa",3,1,"2,000.0 sqft",20.0 perches,"Rs 35,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",2,1,700.0 sqft,9.0 perches,"Rs 16,000"
House for rent in Matara Town,Matara,"Sridewanndha Road, New Lane , Matara",3,1,"1,500.0 sqft",20.0 perches,"Rs 30,000"
House for Rent Dehiowita,Kegalle,"Yatiyatota Road,Dehiowita",2,1,"1,200.0 sqft",15.0 perches,"Rs 15,000."
House for Rent Kandy,Kandy,"Kandy City, Kandy",4,2,"2,500.0 sqft",25.0 perches,"Rs 44,000"
House for Rent,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",4,2,"2,500.0 sqft",27.0 perches,"Rs 38,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",3,1,"2,000.0 sqft",21.0 perches,"Rs 32,000"
First Floor House for Rent Matara,Matara,"Rajamaha Vihara Road, Walgama North, Matara",1,1,400.0 sqft,5.0 perches,"Rs 15,000"
House For Rent In Hambantota,Hambantota,"Ranna, Hambantota",3,1,"2,200.0 sqft",24.0 perches,"Rs 32,000"
House for Rent in Eheliyagoda,Ratnapura,"Bisodola,Eheliyagoda",2,1,"1,000.0 sqft",12. 0 perches,"Rs 16,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,2,"1,200.0 sqft",11.0 perches,"Rs 27,000"
House for Rent in Nuwara Eliya City,Nuwara Eliya,"Nuwara Eliya City, Nuwara Eliya",3,2,"2,500.0 sqft",22.0 perches,"Rs 40,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",3,1,"1,800.0 sqft",22.0 perches,"Rs 33,000"
House for Rent Ampara,Ampara,Ampara,4,1,"3,500.0 sqft",35.0 perches,"Rs 32,000"
House for Rent in Trincomalee,Trincomalee,"Trincomalee City, Trincomalee",3,1,2200.0 sqft,22.0 perches,"Rs 36,000"
House for Rent or Lease Kuliyapitiya Town,Kurunegala,"Parakama Mw, Kuliyapitiya.",3,1,"1,600.0 sqft",20.0 perches,"Rs 30,000"
House for Rent Malwattai Ampara,Ampara,"Malwattai,Ampara",3,1,"4,000.0 sqft",35.0 perches,"Rs 24,000"
House for Rent Ruwanwella,Kegalle,"Wekada , Ampagala, Ruwanwella",2,2,1200.0 sqft,20.0 perches,"Rs 25,000"
House for Rent in Trincomalee,Trincomalee,"Trincomalee City, Trincomalee",3,1,2000.0 sqft,20.0 perches,"Rs 34,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",3,1,"2,200.0 sqft",22.0 perches,"Rs 36,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",2,1,1000.0 sqft,11.0 perches,"Rs 25,000"
2 Story House for Rent in Kotavila Juntion Weligama Matara,Matara,Kotavila Juntion Weligama Matara,2,1,"1,400.0 sqft",14.0 perches,"Rs 25,000"
House for Rent in Matara,Matara," Sarasi  Bandaththara, Thihagoda",2,1,800.0 sqft,5.0 perches,"Rs 20,000"
